episode,score,max_wave,duration,avg_reward
1,0,1,15.306636810302734,-0.16620007524868438
2,200,1,24.255606412887573,-0.05478022294079496
3,0,1,16.722309589385986,-0.028753702330212842
4,100,1,13.951953172683716,-0.011439912237116762
5,100,1,15.65757942199707,0.00012375334420191355
6,0,1,16.078487873077393,-0.03013047834470855
7,0,1,14.89272165298462,-0.045320935649014224
8,200,1,13.112627744674683,-0.09324389722341433
9,0,1,12.840760707855225,-0.033830300239545315
10,200,1,15.764364004135132,-0.028616161730241816
11,0,1,17.036739587783813,-0.06373799532913842
12,100,1,11.911001682281494,-0.04777782604860667
13,0,1,17.78564429283142,-0.03141977513435176
14,100,1,11.064166069030762,-0.05865036787497617
15,100,1,12.90172529220581,-0.04153921585727441
16,0,1,14.389790058135986,-0.03138274877709298
17,400,1,15.545224666595459,-0.09556245109053348
18,100,1,12.808125972747803,-0.03244434355418519
19,100,1,16.49158477783203,-0.024310316421051626
20,0,1,11.160426616668701,-0.057824197031659766
21,200,1,14.626441955566406,-0.35343948681051274
22,300,1,14.014854669570923,-0.041741146547697325
23,1100,1,19.844024419784546,-0.00775133359590141
24,200,1,18.286474466323853,-0.06997503236298769
25,0,1,15.80695629119873,-0.028496887733043395
26,0,1,15.963611364364624,-0.045894883386979425
27,0,1,13.595311641693115,-0.04337809977437716
28,0,1,13.373029232025146,-0.04766638608317056
29,0,1,12.868311166763306,-0.040800217490723045
30,0,1,15.210050582885742,-0.03940226646046111
31,0,1,14.5626859664917,-0.08648950042608759
32,0,1,13.23123812675476,-0.06750022302216008
33,0,1,19.791252613067627,-0.08559492868316376
34,300,1,19.34059190750122,-0.10995954228580375
35,100,1,15.995117425918579,-0.04822703367034269
36,300,1,13.078863859176636,-0.03853830951685547
37,0,1,17.056511878967285,-0.019798263778095248
38,200,1,14.51659107208252,-0.04494310115120356
39,200,1,10.917689800262451,-0.026131520130562174
40,300,1,14.140657424926758,-0.03867868825522616
41,0,1,14.36234188079834,-0.07343964289200962
42,400,1,12.906752824783325,-0.028850000508583343
43,0,1,12.018311977386475,-0.06105891133978795
44,200,1,17.359787940979004,-0.0435103356748951
45,100,1,21.576178789138794,-0.029288145679930763
46,0,1,12.505704879760742,-0.07757178748366082
47,100,1,15.687891006469727,-0.1967513478227598
48,200,1,13.263878583908081,-0.030987494966016448
49,0,1,18.69408106803894,-0.01567058219288135
50,0,1,20.724260091781616,-0.04579899470848568
51,0,1,12.299672842025757,-0.21292731498492587
52,200,1,15.572744846343994,-0.8329318411249068
53,100,1,12.175966262817383,-0.0362484316387412
54,100,1,17.12947392463684,-0.024742154687919446
55,100,1,14.232022762298584,-0.03366552410143918
56,0,1,11.780017375946045,-0.055953457528012104
57,300,1,17.590537071228027,-0.022922325466222724
58,200,1,17.758251190185547,-0.03308402679313982
59,300,1,11.99532151222229,-0.049098668954434016
60,0,1,13.264355421066284,-0.03355163387249018
61,100,1,13.757977962493896,-0.05337105237198351
62,200,1,16.71273636817932,-0.03900800274244491
63,100,1,12.282927751541138,-0.007664429221642504
64,0,1,15.197585582733154,-0.00818202995743823
65,100,1,19.983709812164307,-0.034459739903814006
66,100,1,15.186233043670654,-0.03000819012586038
67,200,1,16.262929439544678,-0.029144472597757706
68,100,1,13.171856164932251,-0.042659153848296334
69,100,1,16.039591312408447,-0.02822492637593071
70,0,1,12.724257469177246,-0.049054617981503804
71,100,1,10.527615547180176,-1.5732746315243225
72,100,1,12.276697397232056,-0.036101915335546506
73,100,1,10.77267336845398,-0.051889942982641886
74,100,1,17.32413411140442,-0.005934615217743954
75,0,1,16.770914554595947,-0.02818659491912153
76,100,1,12.465056419372559,-0.01649092000809213
77,0,1,13.286599397659302,-0.029847297350987387
78,0,1,14.134083271026611,-0.0215594539911021
79,200,1,14.888480424880981,-0.11246839574746034
80,100,1,10.634452104568481,-0.07009419513499345
81,0,1,13.127926349639893,-0.4087702090797694
82,0,1,17.78168821334839,-0.033026291735338664
83,100,1,18.31514310836792,-0.385278665990266
84,0,1,16.03624653816223,-0.11159192519461746
85,100,1,12.872328758239746,-0.041273537185934316
86,100,1,14.547932863235474,-0.026590699221165012
87,300,1,12.407842636108398,-0.7993715343723564
88,100,1,11.466822147369385,-0.1373762025280944
89,500,1,15.899160146713257,-0.03003872211170367
90,100,1,19.965465545654297,-0.11014856699547008
91,200,1,14.97368860244751,-0.027174698150517596
92,300,1,11.535645008087158,-0.12746123893608816
93,0,1,17.053749084472656,-0.02231693081618508
94,300,1,22.327680349349976,-0.03432486788806637
95,100,1,14.658931016921997,-0.019501243496398934
96,300,1,12.079980611801147,-0.03989623775137544
97,200,1,16.80745029449463,-0.029467330718344373
98,300,1,13.511621713638306,-0.03265040387672895
99,0,1,11.863376140594482,-0.038071533497983
100,100,1,11.329242706298828,-0.238479915931773
101,100,1,11.344330072402954,-0.9268546567389333
102,0,1,12.229880571365356,-0.11765661079508986
103,0,1,17.126843690872192,-0.26211493552461096
104,200,1,14.372647762298584,-0.03262853983250188
105,100,1,15.636425495147705,-0.027390255002598674
106,100,1,13.455463171005249,-0.06263829759888939
107,200,1,14.973005056381226,-0.021385504165494004
108,0,1,17.061482906341553,-0.28213262860743027
109,200,1,12.854464054107666,-0.04306439876569475
110,0,1,14.71138596534729,-0.05144651742316127
111,0,1,9.891117811203003,-1.4332057379082843
112,300,1,14.836126327514648,-0.033564189493137164
113,300,1,19.071733951568604,-0.1117195675715252
114,100,1,16.484374523162842,-0.030474288304546963
115,400,1,17.977824211120605,-0.07089114044741271
116,300,1,12.368083477020264,-0.03641220653504019
117,200,1,12.647796869277954,-0.020509151735473113
118,100,1,12.350720882415771,-0.008331343382452915
119,0,1,13.022255182266235,-0.05421598426935161
120,100,1,14.702219247817993,-0.02184547806711912
121,0,1,12.181905031204224,-0.1215075884881216
122,200,1,10.05426573753357,-0.0451214783103953
123,200,1,15.290055751800537,-0.0022476752499824425
124,0,1,12.368802547454834,-0.06494610612339097
