episode,epsilon
1,0.08335712362110555
2,0.04999916370086185
3,0.04999916370086185
4,0.04999916370086185
5,0.04999916370086185
6,0.04999916370086185
7,0.04999916370086185
8,0.04999916370086185
9,0.04999916370086185
10,0.04999916370086185
11,0.04999916370086185
12,0.04999916370086185
13,0.04999916370086185
14,0.04999916370086185
15,0.04999916370086185
16,0.04999916370086185
17,0.04999916370086185
18,0.04999916370086185
19,0.04999916370086185
20,0.04999916370086185
21,0.04999916370086185
22,0.04999916370086185
23,0.04999916370086185
24,0.04999916370086185
25,0.04999916370086185
26,0.04999916370086185
27,0.04999916370086185
28,0.04999916370086185
29,0.04999916370086185
30,0.04999916370086185
31,0.04999916370086185
32,0.04999916370086185
33,0.04999916370086185
34,0.04999916370086185
35,0.04999916370086185
36,0.04999916370086185
37,0.04999916370086185
38,0.04999916370086185
39,0.04999916370086185
40,0.04999916370086185
41,0.04999916370086185
42,0.04999916370086185
43,0.04999916370086185
44,0.04999916370086185
45,0.04999916370086185
46,0.04999916370086185
47,0.04999916370086185
48,0.04999916370086185
49,0.04999916370086185
50,0.04999916370086185
51,0.04999916370086185
52,0.04999916370086185
53,0.04999916370086185
54,0.04999916370086185
55,0.04999916370086185
56,0.04999916370086185
57,0.04999916370086185
58,0.04999916370086185
59,0.04999916370086185
60,0.04999916370086185
61,0.04999916370086185
62,0.04999916370086185
63,0.04999916370086185
64,0.04999916370086185
65,0.04999916370086185
66,0.04999916370086185
67,0.04999916370086185
68,0.04999916370086185
69,0.04999916370086185
70,0.04999916370086185
71,0.04999916370086185
72,0.04999916370086185
73,0.04999916370086185
74,0.04999916370086185
75,0.04999916370086185
76,0.04999916370086185
77,0.04999916370086185
78,0.04999916370086185
79,0.04999916370086185
80,0.04999916370086185
81,0.04999916370086185
82,0.04999916370086185
83,0.04999916370086185
84,0.04999916370086185
85,0.04999916370086185
86,0.04999916370086185
87,0.04999916370086185
88,0.04999916370086185
89,0.04999916370086185
90,0.04999916370086185
91,0.04999916370086185
92,0.04999916370086185
93,0.04999916370086185
94,0.04999916370086185
95,0.04999916370086185
96,0.04999916370086185
97,0.04999916370086185
98,0.04999916370086185
99,0.04999916370086185
100,0.04999916370086185
101,0.04999916370086185
102,0.04999916370086185
103,0.04999916370086185
