episode,score,max_wave,duration,avg_reward
1,0,1,38.541412591934204,-0.8559053214133276
2,0,1,41.64116597175598,-0.705346553666436
3,0,1,4.345590114593506,-0.7494458432152206
4,0,1,10.823493480682373,-0.03284575528098795
5,600,1,39.725462198257446,-0.6186432610481898
6,300,1,13.671349287033081,-0.38953955595239903
7,100,1,10.253816604614258,-0.06055363321799308
8,0,1,14.276756286621094,-0.3646928390487499
9,400,1,9.762635231018066,-0.04932342307176461
10,100,1,11.03144884109497,-0.0503217385024539
